idOrden;idProducto;cantidadDevuelta;fechaDevolucion;motivoDevolucion;resolucion
445;164;3;9/6/05;Cambio de idea o insatisfaccion personal;Intercambio por variante
453;10777;7;23/2/19;Producto o tamano incorrecto;Reembolso
457;12390;1;14/1/18;Producto danado o defectuoso;Intercambio por nuevos productos
462;4658;1;7/4/16;Cambio de idea o insatisfaccion personal;Reembolso
467;8019;2;25/1/16;Producto o tamano incorrecto;Credito de la tienda
468;11565;4;13/4/16;Producto danado o defectuoso;Credito de la tienda
469;11983;2;10/8/12;Producto o tamano incorrecto;Intercambio por variante
474;4353;2;13/6/14;Cambio de idea o insatisfaccion personal;Reembolso
480;8979;1;17/7/11;Producto danado o defectuoso;Intercambio por variante
481;11563;3;10/6/08;Producto danado o defectuoso;Intercambio por variante
491;6875;4;10/11/06;Producto danado o defectuoso;Credito de la tienda
499;1438;5;21/11/16;Producto danado o defectuoso;Credito de la tienda
506;3327;9;18/10/08;Producto o tamano incorrecto;Intercambio por variante
509;6116;1;27/4/09;Producto danado o defectuoso;Reembolso
512;7189;11;21/7/10;Cambio de idea o insatisfaccion personal;Credito de la tienda
516;4311;10;31/12/16;Producto danado o defectuoso;Credito de la tienda
516;12068;8;21/12/16;Producto o tamano incorrecto;Reembolso
517;7317;3;25/12/12;Producto o tamano incorrecto;Intercambio por nuevos productos
520;9765;5;14/12/08;Producto danado o defectuoso;Reembolso
522;7413;3;30/3/06;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
524;2883;3;9/4/15;Cambio de idea o insatisfaccion personal;Reembolso
526;7882;2;20/4/20;Producto danado o defectuoso;Reembolso
526;1642;6;13/4/20;Cambio de idea o insatisfaccion personal;Credito de la tienda
527;3173;4;20/11/16;Producto o tamano incorrecto;Intercambio por variante
530;14039;1;3/7/16;Producto danado o defectuoso;Intercambio por nuevos productos
533;7825;7;23/11/11;Producto danado o defectuoso;Credito de la tienda
533;10908;1;15/11/11;Producto o tamano incorrecto;Reembolso
548;8397;7;4/12/16;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
554;10051;6;25/8/21;Cambio de idea o insatisfaccion personal;Intercambio por variante
555;12431;5;27/7/16;Cambio de idea o insatisfaccion personal;Intercambio por variante
566;11635;2;5/5/20;Producto danado o defectuoso;Intercambio por nuevos productos
566;8351;8;12/4/20;Cambio de idea o insatisfaccion personal;Intercambio por variante
578;527;3;30/3/08;Cambio de idea o insatisfaccion personal;Reembolso
615;8246;2;1/2/07;Producto danado o defectuoso;Intercambio por variante
617;10176;3;13/3/10;Producto danado o defectuoso;Credito de la tienda
622;10958;2;20/2/07;Producto o tamano incorrecto;Intercambio por nuevos productos
627;8860;10;17/10/08;Producto danado o defectuoso;Intercambio por variante
631;2072;3;30/1/22;Producto danado o defectuoso;Reembolso
632;9385;3;15/12/10;Producto o tamano incorrecto;Credito de la tienda
632;13433;3;2/12/10;Producto o tamano incorrecto;Credito de la tienda
633;2244;3;2/5/15;Producto danado o defectuoso;Credito de la tienda
634;1902;4;26/12/19;Cambio de idea o insatisfaccion personal;Reembolso
634;7637;2;27/12/19;Producto danado o defectuoso;Credito de la tienda
641;8780;8;27/3/09;Producto o tamano incorrecto;Credito de la tienda
647;4009;8;17/1/16;Producto o tamano incorrecto;Reembolso
655;1050;6;5/1/14;Cambio de idea o insatisfaccion personal;Credito de la tienda
664;2686;2;20/1/09;Producto o tamano incorrecto;Reembolso
669;4986;4;25/12/12;Producto o tamano incorrecto;Credito de la tienda
678;12584;1;11/10/09;Cambio de idea o insatisfaccion personal;Credito de la tienda
695;5191;2;17/6/21;Producto danado o defectuoso;Intercambio por nuevos productos
700;3143;3;7/8/22;Producto danado o defectuoso;Intercambio por nuevos productos
706;11788;3;8/2/11;Producto o tamano incorrecto;Credito de la tienda
708;6996;9;24/9/19;Producto danado o defectuoso;Reembolso
709;11376;3;13/9/19;Producto danado o defectuoso;Intercambio por variante
710;1946;5;8/2/13;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
718;10562;2;16/9/19;Cambio de idea o insatisfaccion personal;Credito de la tienda
725;3858;2;20/12/12;Producto danado o defectuoso;Reembolso
726;3866;5;20/8/14;Producto danado o defectuoso;Intercambio por nuevos productos
733;9397;3;8/12/07;Cambio de idea o insatisfaccion personal;Credito de la tienda
733;2195;8;6/12/07;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
742;7692;11;5/2/21;Producto danado o defectuoso;Intercambio por variante
745;13538;2;24/11/11;Producto o tamano incorrecto;Credito de la tienda
752;12235;4;5/10/07;Cambio de idea o insatisfaccion personal;Intercambio por variante
756;14089;5;24/6/20;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
766;4487;3;23/12/11;Producto o tamano incorrecto;Reembolso
771;3886;1;9/1/14;Producto danado o defectuoso;Credito de la tienda
777;6682;7;8/2/19;Cambio de idea o insatisfaccion personal;Reembolso
780;12501;2;14/7/09;Producto o tamano incorrecto;Credito de la tienda
781;4114;1;3/8/16;Producto danado o defectuoso;Intercambio por variante
788;2216;1;11/3/08;Cambio de idea o insatisfaccion personal;Reembolso
794;8779;2;16/4/13;Producto danado o defectuoso;Intercambio por nuevos productos
804;12919;4;1/5/15;Producto danado o defectuoso;Credito de la tienda
814;296;8;9/2/19;Cambio de idea o insatisfaccion personal;Reembolso
822;13550;5;10/4/09;Producto danado o defectuoso;Reembolso
828;8891;3;3/8/12;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
829;3470;3;22/5/11;Producto o tamano incorrecto;Reembolso
832;12861;6;7/12/11;Producto danado o defectuoso;Intercambio por nuevos productos
839;8523;2;19/11/15;Cambio de idea o insatisfaccion personal;Reembolso
847;12519;5;3/12/10;Producto o tamano incorrecto;Intercambio por variante
848;7000;2;18/6/17;Cambio de idea o insatisfaccion personal;Reembolso
857;11663;3;12/12/18;Cambio de idea o insatisfaccion personal;Intercambio por variante
876;8476;3;28/1/13;Producto danado o defectuoso;Credito de la tienda
881;5058;1;25/6/09;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
881;14591;3;30/6/09;Cambio de idea o insatisfaccion personal;Intercambio por variante
885;384;1;5/3/20;Producto danado o defectuoso;Credito de la tienda
886;13141;8;7/11/13;Producto o tamano incorrecto;Intercambio por variante
886;6699;5;5/11/13;Producto danado o defectuoso;Intercambio por nuevos productos
893;4485;7;6/3/23;Producto o tamano incorrecto;Reembolso
895;12543;3;15/6/12;Producto danado o defectuoso;Intercambio por variante
896;7009;4;26/9/15;Producto danado o defectuoso;Credito de la tienda
900;12173;1;2/6/17;Cambio de idea o insatisfaccion personal;Reembolso
916;5259;2;12/12/10;Producto danado o defectuoso;Intercambio por variante
919;1485;2;6/8/07;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
923;108;5;5/8/12;Producto danado o defectuoso;Intercambio por nuevos productos
927;12752;9;30/7/18;Cambio de idea o insatisfaccion personal;Credito de la tienda
946;10821;3;25/12/10;Producto danado o defectuoso;Credito de la tienda
948;10752;5;20/6/16;Cambio de idea o insatisfaccion personal;Reembolso
955;9828;3;1/8/16;Producto danado o defectuoso;Intercambio por variante
960;13373;12;17/4/09;Cambio de idea o insatisfaccion personal;Reembolso
961;11223;2;31/1/11;Cambio de idea o insatisfaccion personal;Reembolso
961;5833;1;30/1/11;Cambio de idea o insatisfaccion personal;Credito de la tienda
965;3361;7;21/3/13;Producto danado o defectuoso;Credito de la tienda
973;3620;2;4/2/15;Cambio de idea o insatisfaccion personal;Reembolso
982;12240;2;18/10/07;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
998;9971;8;11/1/11;Producto o tamano incorrecto;Credito de la tienda
998;783;2;23/1/11;Producto o tamano incorrecto;Intercambio por nuevos productos
1001;3095;4;24/4/14;Producto danado o defectuoso;Intercambio por nuevos productos
1008;9206;2;6/7/09;Producto o tamano incorrecto;Intercambio por variante
1008;6;2;22/6/09;Producto o tamano incorrecto;Intercambio por variante
1027;1648;2;1/12/10;Cambio de idea o insatisfaccion personal;Reembolso
1035;8167;9;29/4/15;Producto danado o defectuoso;Intercambio por variante
1041;12171;7;6/10/19;Producto o tamano incorrecto;Credito de la tienda
1058;2709;4;14/10/15;Producto o tamano incorrecto;Reembolso
1059;14282;3;27/12/09;Producto danado o defectuoso;Credito de la tienda
1060;6759;4;13/10/22;Producto danado o defectuoso;Credito de la tienda
1066;7184;4;6/8/21;Producto danado o defectuoso;Reembolso
1067;3699;1;17/5/21;Producto o tamano incorrecto;Intercambio por nuevos productos
1071;11545;4;8/1/14;Cambio de idea o insatisfaccion personal;Reembolso
1079;9371;6;10/7/11;Producto o tamano incorrecto;Intercambio por variante
1088;1118;8;2/8/09;Producto danado o defectuoso;Intercambio por variante
1092;2778;3;26/10/09;Producto o tamano incorrecto;Credito de la tienda
1096;10349;1;2/4/10;Producto danado o defectuoso;Reembolso
1100;8143;2;14/3/18;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1100;13376;3;19/2/18;Producto danado o defectuoso;Intercambio por nuevos productos
1101;8378;1;4/2/20;Producto danado o defectuoso;Credito de la tienda
1107;14788;4;29/6/13;Producto o tamano incorrecto;Reembolso
1114;956;8;1/4/11;Producto o tamano incorrecto;Intercambio por nuevos productos
1116;7541;3;24/2/16;Cambio de idea o insatisfaccion personal;Reembolso
1126;14484;2;5/7/09;Producto danado o defectuoso;Reembolso
1134;11587;5;17/5/11;Producto o tamano incorrecto;Credito de la tienda
1136;9660;3;24/7/20;Producto o tamano incorrecto;Credito de la tienda
1142;10106;7;22/2/19;Producto o tamano incorrecto;Reembolso
1154;7257;5;13/12/13;Producto o tamano incorrecto;Intercambio por nuevos productos
1164;5403;1;20/8/12;Cambio de idea o insatisfaccion personal;Intercambio por variante
1165;9171;5;1/2/07;Producto danado o defectuoso;Credito de la tienda
1166;4865;4;4/3/14;Producto o tamano incorrecto;Credito de la tienda
1175;3146;7;24/5/21;Producto o tamano incorrecto;Intercambio por variante
1184;3368;1;10/7/21;Producto o tamano incorrecto;Intercambio por nuevos productos
1192;13026;3;13/8/10;Producto o tamano incorrecto;Intercambio por nuevos productos
1195;5799;12;18/9/14;Producto danado o defectuoso;Intercambio por nuevos productos
1196;8569;4;16/9/14;Producto o tamano incorrecto;Credito de la tienda
1200;1233;2;31/3/16;Producto o tamano incorrecto;Intercambio por nuevos productos
1207;8870;3;21/5/11;Producto o tamano incorrecto;Reembolso
1208;5246;1;22/11/12;Producto o tamano incorrecto;Credito de la tienda
1209;2458;4;24/1/23;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1214;8185;2;2/2/14;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1216;2197;1;28/7/22;Cambio de idea o insatisfaccion personal;Intercambio por variante
1219;4197;8;8/9/13;Producto danado o defectuoso;Intercambio por nuevos productos
1224;5538;2;31/8/19;Producto danado o defectuoso;Credito de la tienda
1225;3693;6;17/2/09;Producto o tamano incorrecto;Credito de la tienda
1225;1787;4;17/2/09;Cambio de idea o insatisfaccion personal;Credito de la tienda
1227;14467;5;5/3/17;Producto o tamano incorrecto;Credito de la tienda
1229;4298;7;5/9/11;Producto danado o defectuoso;Intercambio por variante
1238;9830;2;3/2/12;Producto danado o defectuoso;Credito de la tienda
1243;9340;4;3/4/11;Producto o tamano incorrecto;Intercambio por variante
1244;1006;2;13/10/16;Producto danado o defectuoso;Intercambio por nuevos productos
1260;1064;6;5/8/11;Producto danado o defectuoso;Intercambio por nuevos productos
1261;7015;3;10/5/12;Producto danado o defectuoso;Intercambio por nuevos productos
1262;13889;3;9/1/10;Producto danado o defectuoso;Intercambio por nuevos productos
1270;9910;8;28/8/14;Producto o tamano incorrecto;Intercambio por variante
1276;1518;1;2/6/12;Cambio de idea o insatisfaccion personal;Intercambio por variante
1277;6515;4;9/2/21;Cambio de idea o insatisfaccion personal;Intercambio por variante
1284;13103;2;6/9/10;Producto o tamano incorrecto;Intercambio por variante
1294;4671;2;16/11/12;Producto danado o defectuoso;Intercambio por variante
1305;2407;2;2/10/14;Cambio de idea o insatisfaccion personal;Intercambio por variante
1316;13270;1;8/10/16;Producto danado o defectuoso;Intercambio por nuevos productos
1318;7577;3;23/8/10;Producto danado o defectuoso;Intercambio por variante
1327;8707;4;12/1/18;Producto o tamano incorrecto;Intercambio por nuevos productos
1336;3860;3;25/4/20;Producto danado o defectuoso;Credito de la tienda
1346;327;10;21/3/15;Producto o tamano incorrecto;Credito de la tienda
1349;4028;9;22/2/16;Producto danado o defectuoso;Reembolso
1362;12193;7;26/4/22;Producto danado o defectuoso;Intercambio por nuevos productos
1369;6551;1;11/3/09;Producto o tamano incorrecto;Credito de la tienda
1388;11963;4;15/7/15;Producto o tamano incorrecto;Reembolso
1391;12308;1;3/7/20;Cambio de idea o insatisfaccion personal;Reembolso
1395;1714;2;28/6/16;Producto o tamano incorrecto;Intercambio por nuevos productos
1397;3251;3;10/11/06;Producto o tamano incorrecto;Reembolso
1397;6337;12;21/10/06;Producto o tamano incorrecto;Intercambio por variante
1404;13513;1;16/5/12;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1406;7665;5;26/6/14;Producto o tamano incorrecto;Intercambio por variante
1417;5658;2;3/12/13;Producto o tamano incorrecto;Intercambio por variante
1420;4544;2;30/7/20;Producto o tamano incorrecto;Reembolso
1422;13120;3;28/1/12;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1423;10276;4;25/10/10;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1425;10839;5;7/2/23;Producto danado o defectuoso;Reembolso
1428;5136;5;6/1/14;Producto o tamano incorrecto;Credito de la tienda
1433;426;3;26/3/14;Producto danado o defectuoso;Intercambio por variante
1437;12162;2;19/10/14;Producto o tamano incorrecto;Reembolso
1438;10520;2;23/2/16;Producto danado o defectuoso;Reembolso
1447;12188;1;1/2/21;Producto danado o defectuoso;Intercambio por nuevos productos
1452;882;1;9/5/12;Cambio de idea o insatisfaccion personal;Credito de la tienda
1459;10514;2;2/4/17;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1460;12817;2;2/10/09;Cambio de idea o insatisfaccion personal;Credito de la tienda
1461;11814;2;7/1/15;Producto danado o defectuoso;Reembolso
1464;6900;3;8/3/16;Producto danado o defectuoso;Intercambio por variante
1467;6817;1;1/7/11;Cambio de idea o insatisfaccion personal;Reembolso
1469;1438;2;2/7/13;Producto o tamano incorrecto;Reembolso
1472;4073;7;28/8/13;Cambio de idea o insatisfaccion personal;Reembolso
1477;9499;1;24/5/22;Producto o tamano incorrecto;Reembolso
1479;564;4;8/11/13;Producto o tamano incorrecto;Intercambio por variante
1484;9108;6;15/3/22;Producto o tamano incorrecto;Credito de la tienda
1484;12251;1;26/2/22;Producto danado o defectuoso;Credito de la tienda
1494;6373;11;1/3/07;Producto danado o defectuoso;Intercambio por nuevos productos
1502;9333;1;25/9/12;Producto o tamano incorrecto;Intercambio por nuevos productos
1503;8025;2;26/1/23;Producto danado o defectuoso;Reembolso
1506;1504;2;16/9/21;Producto o tamano incorrecto;Intercambio por variante
1517;12452;4;5/10/08;Cambio de idea o insatisfaccion personal;Reembolso
1518;3331;8;14/4/23;Producto o tamano incorrecto;Credito de la tienda
1520;13795;5;19/6/13;Producto danado o defectuoso;Credito de la tienda
1528;140;2;27/10/17;Producto danado o defectuoso;Intercambio por nuevos productos
1528;5107;4;8/11/17;Cambio de idea o insatisfaccion personal;Reembolso
1529;13232;7;25/11/10;Cambio de idea o insatisfaccion personal;Credito de la tienda
1532;3467;11;5/1/13;Producto o tamano incorrecto;Intercambio por nuevos productos
1535;5207;1;6/4/10;Producto danado o defectuoso;Reembolso
1538;6863;3;10/4/15;Cambio de idea o insatisfaccion personal;Intercambio por variante
1546;2306;4;24/1/17;Producto o tamano incorrecto;Credito de la tienda
1551;2908;3;5/6/14;Producto danado o defectuoso;Intercambio por variante
1553;5226;3;4/9/12;Cambio de idea o insatisfaccion personal;Intercambio por variante
1556;3616;2;18/12/14;Cambio de idea o insatisfaccion personal;Credito de la tienda
1557;11058;4;18/5/18;Producto danado o defectuoso;Intercambio por nuevos productos
1562;11699;5;6/5/16;Producto danado o defectuoso;Intercambio por variante
1579;7627;3;29/7/13;Producto o tamano incorrecto;Intercambio por nuevos productos
1589;6573;6;26/9/11;Cambio de idea o insatisfaccion personal;Reembolso
1590;8427;3;27/2/17;Producto o tamano incorrecto;Credito de la tienda
1594;13076;1;19/11/13;Producto danado o defectuoso;Credito de la tienda
1596;8409;7;4/12/12;Producto o tamano incorrecto;Intercambio por nuevos productos
1597;4583;1;31/8/07;Producto danado o defectuoso;Intercambio por variante
1612;11261;11;4/4/14;Producto o tamano incorrecto;Intercambio por nuevos productos
1616;465;4;24/12/11;Producto danado o defectuoso;Intercambio por variante
1621;12986;2;1/4/12;Cambio de idea o insatisfaccion personal;Intercambio por variante
1621;8959;1;21/4/12;Producto o tamano incorrecto;Reembolso
1628;2361;3;5/9/13;Cambio de idea o insatisfaccion personal;Reembolso
1631;4141;7;23/3/23;Cambio de idea o insatisfaccion personal;Credito de la tienda
1637;5605;2;7/11/18;Producto o tamano incorrecto;Intercambio por nuevos productos
1643;11568;1;12/3/13;Producto danado o defectuoso;Intercambio por variante
1646;5747;1;14/7/10;Producto o tamano incorrecto;Reembolso
1674;12549;1;16/1/23;Cambio de idea o insatisfaccion personal;Reembolso
1676;10310;3;18/5/11;Producto danado o defectuoso;Intercambio por variante
1686;8398;1;27/2/15;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1688;3660;5;3/6/22;Producto o tamano incorrecto;Credito de la tienda
1692;12382;6;5/11/12;Producto o tamano incorrecto;Intercambio por nuevos productos
1692;8527;1;9/11/12;Producto o tamano incorrecto;Reembolso
1706;11435;12;22/8/12;Cambio de idea o insatisfaccion personal;Credito de la tienda
1714;10152;4;16/11/20;Producto o tamano incorrecto;Reembolso
1718;12500;4;19/9/14;Producto danado o defectuoso;Reembolso
1726;7271;1;25/1/14;Producto o tamano incorrecto;Credito de la tienda
1729;8637;6;20/7/18;Producto danado o defectuoso;Reembolso
1741;8150;7;5/7/15;Producto danado o defectuoso;Credito de la tienda
1754;13674;2;31/7/20;Cambio de idea o insatisfaccion personal;Reembolso
1761;2834;5;9/5/07;Producto o tamano incorrecto;Intercambio por variante
1763;817;2;9/7/13;Producto o tamano incorrecto;Credito de la tienda
1764;8494;4;8/11/19;Cambio de idea o insatisfaccion personal;Reembolso
1772;6101;2;5/3/15;Producto o tamano incorrecto;Intercambio por variante
1781;1835;9;5/6/06;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1789;3317;2;6/11/13;Producto o tamano incorrecto;Reembolso
1791;121;4;28/4/12;Producto o tamano incorrecto;Reembolso
1792;8273;3;26/12/16;Producto danado o defectuoso;Reembolso
1796;8017;1;26/7/19;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
1798;9641;4;1/12/11;Producto o tamano incorrecto;Intercambio por variante
1802;223;1;10/10/13;Producto o tamano incorrecto;Credito de la tienda
1812;5137;3;31/1/17;Producto o tamano incorrecto;Reembolso
1814;13324;7;3/6/18;Producto danado o defectuoso;Intercambio por variante
1827;12791;8;7/2/14;Producto danado o defectuoso;Intercambio por nuevos productos
1839;4539;3;18/2/15;Producto danado o defectuoso;Credito de la tienda
1845;4624;1;5/10/20;Producto o tamano incorrecto;Credito de la tienda
1846;1420;1;26/1/14;Cambio de idea o insatisfaccion personal;Credito de la tienda
1867;12955;5;9/3/09;Producto o tamano incorrecto;Intercambio por variante
1890;10571;1;10/6/07;Producto danado o defectuoso;Reembolso
1892;12820;2;26/10/13;Producto danado o defectuoso;Reembolso
1894;8329;9;2/1/15;Producto danado o defectuoso;Credito de la tienda
1897;7344;3;8/4/10;Producto danado o defectuoso;Credito de la tienda
1898;7374;2;29/7/14;Producto o tamano incorrecto;Reembolso
1918;598;1;19/8/19;Cambio de idea o insatisfaccion personal;Credito de la tienda
1918;3592;1;2/9/19;Producto danado o defectuoso;Intercambio por nuevos productos
1923;8551;6;28/12/14;Cambio de idea o insatisfaccion personal;Intercambio por variante
1928;4076;8;24/8/10;Producto o tamano incorrecto;Reembolso
1928;1549;1;11/9/10;Producto o tamano incorrecto;Credito de la tienda
1945;5019;6;30/6/13;Producto o tamano incorrecto;Intercambio por variante
1946;9401;1;18/3/14;Producto danado o defectuoso;Intercambio por variante
1949;6702;8;23/2/16;Producto o tamano incorrecto;Reembolso
1956;6010;2;15/2/21;Producto danado o defectuoso;Reembolso
1961;3077;2;30/6/16;Producto danado o defectuoso;Credito de la tienda
1964;8889;1;8/5/15;Cambio de idea o insatisfaccion personal;Reembolso
1964;14819;2;4/5/15;Producto o tamano incorrecto;Credito de la tienda
1969;903;8;2/9/17;Producto o tamano incorrecto;Reembolso
1990;1712;2;30/1/12;Producto o tamano incorrecto;Credito de la tienda
1997;8509;5;31/1/08;Producto danado o defectuoso;Intercambio por nuevos productos
2004;10768;1;24/3/19;Cambio de idea o insatisfaccion personal;Intercambio por variante
2005;10073;1;6/6/14;Producto danado o defectuoso;Intercambio por variante
2011;3635;7;3/9/08;Cambio de idea o insatisfaccion personal;Intercambio por variante
2013;13806;6;15/9/13;Cambio de idea o insatisfaccion personal;Reembolso
2014;11097;5;25/11/10;Producto o tamano incorrecto;Intercambio por nuevos productos
2015;238;2;21/11/12;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
2020;12278;3;12/8/15;Producto danado o defectuoso;Credito de la tienda
2022;5198;1;22/11/07;Producto danado o defectuoso;Reembolso
2028;5650;1;7/12/11;Producto o tamano incorrecto;Intercambio por variante
2032;9683;2;19/9/18;Cambio de idea o insatisfaccion personal;Credito de la tienda
2034;5991;10;14/11/10;Cambio de idea o insatisfaccion personal;Credito de la tienda
2037;3250;2;27/4/13;Producto o tamano incorrecto;Credito de la tienda
2040;6806;4;31/7/18;Producto o tamano incorrecto;Intercambio por variante
2045;12957;1;17/9/08;Producto danado o defectuoso;Intercambio por variante
2045;10892;10;9/9/08;Producto o tamano incorrecto;Intercambio por variante
2047;7231;3;8/3/14;Cambio de idea o insatisfaccion personal;Credito de la tienda
2057;13559;7;18/12/20;Producto o tamano incorrecto;Reembolso
2059;3395;10;1/1/16;Producto danado o defectuoso;Reembolso
2067;2961;8;16/5/21;Producto danado o defectuoso;Credito de la tienda
2071;10217;2;20/11/10;Producto danado o defectuoso;Reembolso
2077;10896;3;2/5/16;Cambio de idea o insatisfaccion personal;Reembolso
2081;3612;2;14/12/14;Producto o tamano incorrecto;Intercambio por variante
2090;7361;1;28/6/07;Producto o tamano incorrecto;Credito de la tienda
2092;2574;2;14/6/06;Producto o tamano incorrecto;Intercambio por variante
2095;13927;1;19/5/14;Producto o tamano incorrecto;Intercambio por nuevos productos
2100;8815;2;11/7/11;Cambio de idea o insatisfaccion personal;Intercambio por variante
2103;6663;2;26/8/13;Cambio de idea o insatisfaccion personal;Intercambio por variante
2103;8252;4;13/8/13;Cambio de idea o insatisfaccion personal;Intercambio por variante
2118;6508;2;29/12/08;Producto danado o defectuoso;Intercambio por variante
2119;136;1;5/8/17;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
2121;998;1;1/8/09;Producto o tamano incorrecto;Credito de la tienda
2121;412;1;19/7/09;Producto danado o defectuoso;Reembolso
2121;1279;2;8/7/09;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
