Cliente;Auto;Ubicación;Fecha;Pago;Seguro Empresa
1539;82;574;30/10/2016;Efectivo;NO
790;141;57;2/6/2018;Credito;NO
2767;17;323;20/3/2019;Efectivo;NO
3186;17;176;9/3/2017;Efectivo;SI
3805;121;536;3/12/2017;Credito;NO
326;81;346;6/2/2019;Credito;NO
3775;89;231;30/1/2017;Credito;NO
2616;88;153;24/7/2016;Credito;SI
3240;23;485;17/2/2015;Credito;SI
899;121;494;20/2/2019;Efectivo;NO
3708;82;151;11/8/2017;Efectivo;SI
1048;121;385;16/8/2015;Efectivo;NO
2857;139;450;19/11/2015;Credito;SI
2115;88;603;22/6/2019;Credito;SI
3732;5;441;11/4/2019;Credito;SI
3177;49;482;16/11/2018;Efectivo;SI
592;94;318;19/4/2016;Efectivo;SI
3319;153;413;10/1/2017;Credito;SI
1606;24;341;8/8/2016;Credito;SI
822;26;189;10/10/2018;Credito;NO
425;78;456;30/12/2016;Credito;NO
832;21;122;16/7/2018;Credito;SI
1365;139;139;6/1/2015;Efectivo;NO
805;96;411;9/3/2018;Credito;SI
1553;51;280;5/11/2018;Efectivo;NO
216;64;445;9/4/2015;Credito;SI
1467;20;19;29/8/2015;Credito;NO
2883;40;55;21/12/2018;Credito;SI
2086;111;441;18/1/2015;Efectivo;NO
867;62;233;5/8/2015;Credito;SI
2287;132;183;16/2/2017;Efectivo;NO
2698;69;3;10/7/2015;Efectivo;SI
3103;80;33;7/9/2018;Credito;NO
2166;38;506;5/11/2016;Credito;SI
1851;63;318;17/2/2017;Efectivo;SI
1356;146;512;9/7/2019;Credito;NO
3741;51;88;6/2/2015;Credito;SI
2738;125;175;30/3/2016;Efectivo;NO
3386;122;209;19/5/2019;Efectivo;SI
1271;62;146;30/9/2016;Credito;NO
1415;137;223;8/10/2019;Credito;SI
1879;114;50;10/9/2018;Credito;SI
830;107;208;23/10/2017;Credito;SI
3915;93;549;7/7/2019;Efectivo;SI
2726;113;230;16/10/2015;Efectivo;NO
364;130;421;12/1/2019;Efectivo;NO
807;74;224;2/1/2015;Credito;NO
503;115;504;9/9/2016;Credito;SI
3568;3;243;7/8/2016;Credito;SI
1522;143;189;19/11/2018;Efectivo;NO
1859;85;109;18/4/2018;Credito;SI
259;135;16;2/11/2017;Credito;SI
781;92;205;28/9/2019;Credito;NO
2197;62;89;7/6/2018;Credito;SI
1768;154;116;12/3/2016;Credito;NO
232;15;4;4/4/2015;Efectivo;NO
938;7;486;13/2/2015;Efectivo;SI
3102;1;485;8/2/2015;Credito;NO
2496;10;528;28/12/2015;Efectivo;SI
3013;16;205;1/7/2016;Efectivo;SI
1336;41;305;26/5/2015;Efectivo;SI
1073;5;525;7/11/2017;Credito;NO
773;4;465;5/2/2017;Credito;SI
121;83;3;26/10/2019;Credito;SI
1115;92;228;9/6/2018;Credito;SI
3990;80;452;28/10/2019;Credito;NO
1184;90;230;12/2/2018;Efectivo;SI
1938;127;87;30/9/2016;Credito;NO
1165;143;52;13/4/2017;Credito;NO
3424;150;519;5/3/2015;Efectivo;SI
1754;17;175;10/2/2015;Credito;SI
1456;134;438;22/9/2016;Efectivo;SI
2859;120;143;9/8/2015;Credito;SI
2772;70;402;18/7/2015;Credito;SI
1294;52;517;8/4/2016;Efectivo;SI
1125;104;446;6/4/2015;Credito;NO
2174;136;221;14/10/2017;Efectivo;NO
1049;72;300;30/12/2015;Efectivo;NO
2238;143;270;5/1/2015;Credito;NO
1856;11;160;30/9/2017;Credito;NO
755;9;353;14/8/2015;Credito;NO
3900;143;444;1/12/2016;Efectivo;NO
1295;105;121;31/8/2016;Efectivo;NO
3933;96;347;20/8/2019;Efectivo;NO
1465;149;142;23/9/2015;Credito;SI
1854;36;570;20/12/2019;Credito;SI
2498;20;536;11/12/2015;Efectivo;NO
439;58;48;7/6/2018;Efectivo;SI
2703;58;333;17/7/2017;Efectivo;SI
3891;28;71;4/1/2015;Credito;NO
2976;79;89;3/9/2019;Efectivo;NO
1260;42;333;28/11/2019;Credito;SI
2480;64;61;4/12/2018;Efectivo;SI
942;151;135;28/1/2017;Efectivo;NO
3003;77;129;22/12/2015;Efectivo;SI
1529;40;560;23/1/2018;Credito;SI
2598;105;591;6/6/2016;Credito;SI
3642;80;474;18/9/2018;Credito;SI
501;111;577;26/8/2017;Credito;SI
1723;69;512;16/10/2017;Efectivo;SI
3830;108;80;30/5/2016;Efectivo;NO
3157;127;480;18/10/2016;Efectivo;NO
2562;24;468;2/3/2019;Efectivo;SI
3688;111;320;13/7/2019;Credito;SI
970;61;425;7/1/2019;Efectivo;NO
3011;155;37;25/3/2016;Credito;NO
1057;157;485;5/3/2016;Credito;NO
281;24;163;22/10/2018;Efectivo;SI
2527;9;414;6/10/2018;Efectivo;SI
2799;27;187;30/4/2015;Credito;NO
114;75;110;5/11/2017;Credito;NO
2981;46;79;30/3/2015;Credito;SI
3736;154;439;28/2/2017;Credito;SI
1182;79;387;5/4/2018;Efectivo;NO
3122;104;200;21/1/2017;Efectivo;NO
3676;116;225;15/3/2018;Credito;NO
766;99;186;14/9/2015;Efectivo;NO
578;129;372;29/1/2016;Credito;NO
2490;157;412;6/10/2018;Efectivo;SI
1821;69;494;30/1/2018;Efectivo;SI
2213;2;12;26/11/2018;Efectivo;NO
1666;129;371;17/11/2017;Credito;NO
2288;73;187;5/4/2015;Credito;SI
3426;123;250;9/8/2017;Credito;SI
1043;115;37;29/1/2017;Credito;SI
3495;126;65;28/4/2015;Efectivo;NO
3528;98;113;28/2/2015;Credito;NO
3652;82;131;21/7/2018;Efectivo;NO
488;103;460;15/12/2016;Credito;NO
3586;114;153;29/12/2016;Efectivo;SI
832;55;373;29/10/2016;Efectivo;NO
2187;81;361;23/4/2018;Efectivo;NO
2160;3;552;22/7/2019;Credito;SI
2247;125;74;29/5/2017;Credito;SI
695;112;308;17/1/2016;Efectivo;SI
583;26;556;19/1/2018;Credito;SI
3343;110;196;7/11/2018;Efectivo;SI
1662;82;567;4/2/2018;Credito;SI
1493;115;291;27/10/2018;Efectivo;SI
257;28;99;18/10/2019;Efectivo;NO
1960;57;322;27/11/2016;Credito;NO
3593;114;514;6/1/2019;Credito;NO
319;42;184;17/10/2015;Efectivo;SI
85;82;84;15/6/2015;Credito;NO
1429;109;45;21/6/2018;Efectivo;SI
2804;103;534;1/12/2017;Credito;SI
1577;49;506;1/2/2019;Credito;NO
596;33;462;15/7/2019;Efectivo;SI
2506;24;240;21/2/2019;Credito;SI
1133;15;120;2/7/2017;Credito;NO
3746;19;420;1/3/2017;Efectivo;NO
802;116;508;30/10/2017;Credito;SI
1733;53;106;12/1/2017;Efectivo;SI
4000;145;91;4/4/2017;Credito;NO
1397;20;337;9/1/2019;Efectivo;NO
2680;133;2;25/11/2018;Credito;SI
3121;50;67;23/9/2015;Credito;NO
3821;88;253;1/8/2018;Efectivo;NO
2366;121;579;1/4/2018;Credito;NO
2821;60;271;31/8/2016;Credito;SI
1531;24;10;13/11/2017;Credito;SI
3842;152;177;23/7/2018;Credito;NO
2670;142;546;5/2/2015;Efectivo;NO
3657;145;323;21/1/2017;Efectivo;SI
1804;157;200;23/5/2016;Efectivo;NO
3083;56;263;13/12/2015;Credito;SI
2117;20;76;18/5/2015;Credito;SI
3813;99;309;15/5/2018;Credito;NO
870;154;32;6/10/2017;Efectivo;NO
575;46;459;1/12/2016;Efectivo;NO
2113;30;107;7/10/2018;Credito;NO
547;3;546;2/6/2016;Credito;NO
1341;128;40;7/10/2018;Credito;NO
3509;130;418;29/12/2019;Credito;NO
1945;109;376;22/4/2019;Credito;SI
1511;80;248;27/9/2018;Efectivo;NO
2949;12;377;13/1/2016;Efectivo;SI
99;20;392;3/11/2016;Efectivo;NO
1044;68;93;8/1/2018;Efectivo;SI
3741;102;473;23/5/2018;Efectivo;SI
2860;4;313;15/6/2015;Credito;NO
3068;24;535;9/1/2015;Credito;NO
1214;109;526;23/8/2016;Efectivo;NO
3289;54;387;3/12/2016;Efectivo;SI
1646;72;269;7/5/2015;Efectivo;NO
3241;116;232;21/12/2016;Credito;SI
2728;41;432;26/10/2018;Credito;NO
1182;129;507;29/1/2015;Credito;SI
3752;47;273;7/8/2016;Efectivo;NO
3956;148;66;31/1/2019;Efectivo;NO
1610;50;301;23/12/2015;Credito;NO
2269;4;130;27/11/2019;Efectivo;NO
2569;22;83;31/10/2018;Credito;NO
2189;30;455;16/4/2017;Credito;SI
1749;118;229;21/6/2015;Credito;NO
3316;112;478;8/6/2015;Efectivo;SI
3228;13;231;25/6/2017;Efectivo;SI
2103;85;339;18/6/2015;Efectivo;NO
1772;119;368;28/2/2019;Credito;NO
1526;71;533;31/5/2016;Efectivo;SI
2660;157;471;25/11/2017;Credito;SI
3459;122;577;8/11/2018;Efectivo;NO
1698;152;293;4/4/2018;Credito;SI
2466;47;370;9/2/2016;Efectivo;SI
1260;49;181;29/9/2015;Efectivo;NO
2149;142;539;6/11/2018;Credito;SI
336;89;183;3/7/2017;Credito;NO
2668;5;245;20/3/2016;Efectivo;SI
1882;121;318;16/8/2017;Efectivo;SI
1633;44;110;28/6/2015;Credito;NO
1830;91;534;14/2/2017;Efectivo;NO
2107;13;171;5/10/2018;Efectivo;NO
2864;154;153;25/6/2015;Credito;NO
2689;139;493;12/10/2017;Credito;SI
690;78;415;23/4/2018;Credito;NO
1487;96;512;22/6/2017;Efectivo;NO
3781;9;604;23/11/2019;Credito;NO
1243;54;293;23/7/2018;Credito;NO
3871;100;375;1/11/2017;Credito;SI
1711;123;387;10/1/2016;Efectivo;NO
2521;1;601;5/4/2016;Credito;NO
2017;61;50;11/8/2019;Credito;NO
406;20;537;21/12/2016;Efectivo;NO
1034;15;573;8/3/2018;Efectivo;NO
105;93;399;8/2/2018;Efectivo;SI
1861;116;460;31/3/2019;Efectivo;NO
845;51;95;21/4/2018;Credito;NO
3518;27;151;21/11/2015;Credito;SI
1403;147;35;20/5/2019;Efectivo;SI
3000;55;590;5/7/2019;Efectivo;NO
3977;132;79;13/9/2019;Credito;SI
2156;135;265;23/10/2019;Credito;SI
307;31;179;5/5/2018;Efectivo;SI
1066;109;564;1/2/2017;Efectivo;SI
250;114;369;12/4/2015;Credito;SI
1717;145;125;20/12/2016;Efectivo;NO
3699;28;603;31/8/2016;Efectivo;SI
283;113;438;14/2/2018;Efectivo;SI
3342;33;465;24/6/2017;Efectivo;NO
3659;114;383;24/7/2016;Efectivo;NO
1767;113;263;6/2/2016;Efectivo;NO
924;34;242;4/2/2018;Efectivo;SI
551;148;459;22/10/2015;Credito;SI
1761;130;120;2/4/2018;Credito;NO
1164;28;21;18/2/2016;Credito;SI
1089;152;53;13/9/2017;Efectivo;SI
1356;15;411;8/8/2017;Credito;SI
2721;117;499;1/7/2018;Efectivo;NO
840;98;413;9/10/2019;Credito;NO
876;42;73;29/11/2018;Efectivo;SI
511;44;180;22/7/2015;Credito;NO
1834;97;267;20/9/2019;Credito;NO
2832;115;471;10/2/2016;Efectivo;SI
987;69;260;17/10/2015;Credito;SI
2392;114;516;22/5/2017;Efectivo;NO
80;96;514;1/8/2015;Credito;SI
1163;131;241;7/9/2016;Credito;SI
2135;80;440;30/3/2018;Efectivo;NO
2391;82;122;30/11/2016;Credito;NO
2384;61;484;12/4/2019;Efectivo;NO
1175;129;204;22/9/2018;Efectivo;NO
3130;65;402;12/5/2019;Efectivo;NO
1581;145;32;4/8/2018;Credito;NO
717;62;429;4/6/2016;Credito;SI
2173;139;423;7/4/2016;Credito;SI
553;112;506;15/11/2015;Credito;NO
300;113;219;26/11/2019;Efectivo;NO
1134;27;343;14/1/2015;Efectivo;SI
2841;92;422;18/9/2017;Efectivo;NO
3426;108;575;15/10/2017;Efectivo;SI
1112;130;426;2/3/2018;Credito;SI
2997;150;509;26/1/2019;Credito;SI
1886;45;331;4/7/2017;Efectivo;NO
298;24;426;15/6/2019;Credito;NO
3623;77;342;12/9/2018;Credito;SI
1835;115;47;8/4/2019;Credito;NO
164;44;93;6/10/2016;Efectivo;SI
1475;46;73;7/3/2019;Efectivo;NO
2986;33;72;25/12/2018;Credito;NO
910;33;552;17/12/2016;Credito;NO
3540;157;242;25/7/2016;Efectivo;SI
1234;102;348;27/2/2016;Credito;NO
1095;18;217;2/4/2019;Efectivo;NO
1363;24;592;25/2/2015;Efectivo;NO
359;24;597;18/3/2016;Credito;NO
1011;48;147;5/9/2016;Efectivo;NO
2308;47;93;30/7/2015;Credito;NO
2582;118;206;8/6/2019;Credito;NO
2875;50;179;6/8/2015;Credito;SI
2421;105;265;6/11/2015;Credito;NO
3611;39;94;12/5/2016;Efectivo;NO
3816;93;326;18/6/2015;Credito;SI
863;35;282;5/1/2018;Credito;NO
3565;34;320;8/6/2019;Efectivo;NO
2327;2;233;10/10/2016;Credito;NO
3220;119;305;22/12/2018;Credito;SI
1325;6;365;20/7/2016;Credito;SI
2611;54;575;4/7/2016;Efectivo;SI
3802;133;110;26/11/2016;Efectivo;NO
1195;56;84;22/6/2018;Efectivo;NO
1666;145;303;29/7/2016;Credito;NO
1411;81;355;4/3/2017;Efectivo;SI
3857;123;507;12/12/2018;Credito;SI
3130;17;99;20/7/2016;Credito;SI
1742;121;89;29/5/2015;Efectivo;SI
39;116;198;22/9/2019;Efectivo;NO
2365;7;482;26/11/2016;Credito;NO
3958;88;354;27/9/2019;Efectivo;NO
2230;63;105;23/9/2017;Efectivo;NO
3171;11;57;31/1/2016;Efectivo;SI
355;132;318;11/9/2018;Credito;NO
2580;133;76;31/12/2015;Credito;SI
1230;33;580;23/5/2017;Credito;NO
3795;139;287;19/6/2018;Credito;NO
435;53;485;13/2/2019;Credito;NO
167;16;269;31/1/2019;Credito;NO
2179;146;568;13/6/2016;Efectivo;NO
2211;8;597;31/3/2019;Efectivo;NO
2413;47;530;20/5/2016;Credito;NO
959;11;424;15/10/2019;Credito;NO
3896;111;158;2/12/2016;Credito;SI
1542;17;392;6/10/2018;Credito;SI
1320;141;94;23/7/2019;Credito;SI
2735;86;277;21/9/2018;Efectivo;SI
3964;94;532;26/2/2019;Efectivo;NO
2309;137;320;13/7/2017;Credito;SI
2207;110;355;11/6/2018;Credito;SI
3696;2;222;1/10/2015;Efectivo;NO
3130;100;132;23/3/2019;Efectivo;NO
1506;100;44;15/3/2015;Efectivo;SI
3989;10;108;1/9/2015;Credito;NO
2302;67;313;7/3/2016;Credito;NO
913;29;579;6/2/2016;Efectivo;SI
2061;25;456;1/2/2016;Efectivo;SI
1558;82;171;16/2/2015;Credito;NO
250;74;298;1/2/2017;Efectivo;NO
2768;151;276;8/7/2019;Efectivo;SI
2739;53;358;18/2/2015;Credito;NO
1060;154;513;11/1/2016;Credito;SI
333;116;98;14/5/2018;Efectivo;SI
2513;131;424;13/6/2016;Credito;NO
3687;51;116;15/11/2019;Efectivo;SI
2892;109;536;4/1/2015;Efectivo;NO
1480;58;40;10/1/2019;Credito;NO
920;152;529;20/8/2016;Efectivo;NO
1710;134;490;12/8/2017;Credito;SI
2223;140;327;3/11/2015;Credito;SI
3048;151;402;1/5/2015;Credito;NO
1017;97;59;12/2/2019;Efectivo;SI
2834;3;425;14/2/2015;Efectivo;NO
184;157;183;27/7/2016;Efectivo;SI
3376;132;392;31/1/2017;Credito;NO
1177;86;149;15/5/2016;Credito;NO
1895;150;584;3/1/2016;Credito;NO
3215;98;237;3/5/2015;Efectivo;NO
2670;15;320;29/4/2016;Efectivo;SI
2730;135;459;3/3/2018;Efectivo;SI
902;141;44;4/8/2019;Efectivo;NO
1267;142;10;4/11/2019;Efectivo;NO
1277;36;339;14/4/2016;Efectivo;NO
3716;134;106;5/8/2016;Credito;NO
1441;138;419;16/4/2018;Efectivo;SI
863;97;142;21/1/2015;Efectivo;SI
2720;76;66;10/2/2018;Efectivo;NO
246;89;426;22/9/2016;Credito;NO
2570;115;32;10/6/2017;Credito;NO
2647;74;294;30/10/2017;Efectivo;NO
1849;116;236;16/4/2018;Credito;SI
586;51;182;18/5/2015;Efectivo;SI
826;130;376;31/10/2018;Efectivo;NO
612;90;431;11/8/2017;Credito;NO
2031;119;242;22/4/2015;Efectivo;NO
3681;110;397;11/4/2016;Efectivo;SI
3092;125;458;20/2/2019;Credito;NO
3986;51;481;13/8/2016;Efectivo;SI
3831;92;110;14/1/2018;Credito;NO
417;56;295;13/6/2016;Credito;NO
2084;132;198;16/9/2019;Credito;SI
3191;131;26;28/1/2017;Credito;SI
2208;131;503;11/6/2018;Credito;NO
288;39;407;19/8/2016;Efectivo;NO
156;27;560;2/11/2019;Credito;NO
942;144;437;18/9/2016;Efectivo;NO
3056;128;15;15/8/2016;Efectivo;SI
1707;50;43;14/10/2015;Credito;NO
1590;3;374;9/3/2015;Credito;SI
2203;88;373;17/2/2016;Efectivo;NO
1958;153;371;2/3/2017;Credito;SI
230;27;389;2/2/2018;Efectivo;NO
804;63;94;8/3/2019;Credito;NO
2164;127;198;9/11/2019;Credito;NO
679;90;217;20/9/2015;Efectivo;SI
3686;106;416;5/1/2018;Efectivo;NO
2446;14;112;12/2/2017;Efectivo;NO
2211;84;530;2/12/2017;Efectivo;NO
2625;135;588;8/3/2019;Efectivo;SI
530;76;122;26/11/2017;Efectivo;SI
2139;29;287;1/10/2016;Credito;NO
1475;86;117;1/10/2015;Efectivo;NO
1160;26;318;1/6/2018;Efectivo;SI
440;88;518;11/5/2015;Efectivo;NO
980;141;4;10/2/2017;Efectivo;NO
406;82;586;12/3/2016;Efectivo;NO
3112;70;281;4/2/2015;Efectivo;NO
3814;32;442;20/8/2015;Credito;SI
500;35;194;22/1/2016;Credito;NO
2846;25;421;25/8/2015;Efectivo;SI
1889;79;195;8/8/2017;Efectivo;SI
921;135;531;24/7/2018;Credito;NO
895;130;245;18/1/2018;Credito;SI
720;49;273;23/4/2018;Efectivo;SI
3615;59;84;19/4/2015;Efectivo;NO
2259;12;313;14/1/2019;Credito;SI
864;85;33;3/2/2019;Credito;SI
285;94;29;18/6/2015;Credito;NO
827;27;561;18/7/2015;Credito;NO
617;59;415;18/7/2018;Credito;SI
476;98;211;26/4/2015;Credito;SI
1929;36;136;8/11/2017;Credito;SI
2944;61;374;3/7/2018;Efectivo;NO
168;13;396;21/5/2015;Efectivo;NO
3660;66;326;2/7/2016;Efectivo;NO
1955;139;589;6/3/2017;Efectivo;SI
1615;101;145;2/3/2016;Efectivo;SI
2563;50;187;20/5/2015;Efectivo;NO
3818;118;331;6/11/2015;Efectivo;NO
415;11;378;7/12/2016;Efectivo;NO
2008;57;599;13/1/2019;Credito;NO
607;70;16;20/9/2018;Credito;SI
97;143;35;7/6/2016;Efectivo;SI
3380;115;245;27/6/2019;Credito;NO
1716;22;162;23/7/2019;Credito;SI
421;33;597;6/6/2017;Efectivo;SI
2330;152;464;20/5/2018;Efectivo;SI
2283;98;162;11/11/2019;Credito;NO
2621;31;75;7/10/2015;Efectivo;NO
3373;67;319;9/12/2018;Credito;NO
3715;82;46;27/2/2017;Efectivo;NO
2406;101;562;18/3/2015;Efectivo;NO
991;12;146;23/6/2015;Efectivo;NO
334;148;337;4/7/2016;Credito;NO
602;98;288;28/2/2019;Credito;NO
1676;156;604;30/3/2019;Credito;SI
3871;46;23;12/5/2018;Credito;SI
3462;152;521;22/9/2015;Efectivo;SI
325;70;412;4/6/2019;Credito;SI
204;118;324;22/1/2015;Credito;SI
1937;13;321;28/6/2017;Efectivo;SI
3642;123;521;24/2/2018;Efectivo;NO
1061;63;520;5/5/2019;Efectivo;SI
1349;92;417;2/10/2016;Credito;SI
1425;130;373;2/8/2015;Efectivo;SI
1806;25;24;2/6/2015;Efectivo;NO
1170;94;170;3/10/2015;Credito;SI
3137;93;604;13/12/2018;Efectivo;NO
1227;144;154;7/11/2015;Efectivo;SI
271;4;82;7/3/2017;Efectivo;NO
1653;117;370;5/7/2019;Credito;NO
2018;13;461;29/12/2018;Credito;SI
1300;146;554;21/10/2018;Efectivo;NO
3586;24;444;27/12/2019;Credito;SI
2082;61;57;18/5/2019;Efectivo;NO
1825;24;386;4/8/2018;Efectivo;NO
2197;117;166;8/7/2015;Credito;NO
3219;22;173;10/11/2017;Efectivo;SI
484;121;562;21/12/2019;Credito;NO
986;134;263;10/11/2019;Credito;SI
2396;109;344;6/4/2016;Efectivo;SI
101;37;584;12/11/2015;Credito;NO
642;118;105;1/3/2019;Efectivo;NO
136;115;32;15/3/2016;Efectivo;SI
62;65;202;31/12/2016;Efectivo;SI
2461;50;102;20/2/2019;Credito;NO
2925;3;42;21/12/2018;Efectivo;NO
3754;126;195;11/11/2018;Efectivo;NO
411;32;480;30/4/2016;Efectivo;NO
2806;41;217;19/11/2019;Credito;SI
1931;139;389;25/10/2016;Credito;NO
1279;23;242;1/12/2019;Efectivo;SI
2342;43;432;3/12/2018;Credito;SI
1485;12;477;11/2/2017;Efectivo;NO
863;150;67;25/2/2018;Efectivo;SI
1316;145;58;29/7/2015;Efectivo;SI
2980;14;339;8/8/2016;Credito;SI
1560;19;429;27/11/2015;Credito;SI
1196;4;217;27/8/2018;Efectivo;SI
2691;40;488;19/6/2018;Efectivo;NO
28;100;132;7/7/2019;Credito;SI
2710;97;371;5/8/2015;Credito;SI
3189;20;372;1/12/2017;Credito;SI
3229;102;305;6/5/2017;Credito;NO
3810;123;508;27/8/2018;Efectivo;SI
1239;143;461;21/11/2019;Credito;SI
